report_no,name,maker,prdlst_type,report_date,category,ingredient_count,ingredients_json,dup_count
20240530065227,마이프로틴 쉐이크 망고,(주)스포츠바이오텍,기타가공품,2026-05-28,protein,23,"[""히알루론산혼합제제"", ""수크랄로스"", ""비타민미네랄혼합분말"", ""정제소금"", ""치자황색소"", ""생선콜라겐"", ""구연산"", ""효소처리스테비아"", ""콜라겐"", ""식물성크림"", ""분리대두단백"", ""유청단백분말"", ""난소화성말토덱스트린(고시형)"", ""망고다이스"", ""과자"", ""유함유가공품"", ""망고맛분말"", ""향료"", ""건조코코넛분말"", ""과.채가공품"", ""탈지분유"", ""기타가공품"", ""에리스리톨""]",1
20240530065228,마이프로틴 쉐이크 블루베리,(주)스포츠바이오텍,기타가공품,2026-05-27,protein,23,"[""유청단백분말"", ""혼합제제"", ""분리대두단백"", ""식물성크림"", ""에리스리톨"", ""난소화성말토덱스트린(고시형)"", ""블루베리농축분말"", ""블루베리분말"", ""과자"", ""곡류가공품"", ""유함유가공품"", ""블루베리다이스"", ""수크랄로스"", ""포도과피색소"", ""히알루론산혼합제제"", ""비타민미네랄혼합분말"", ""정제소금"", ""생선콜라겐"", ""효소처리스테비아"", ""기타가공품"", ""구연산"", ""탈지분유"", ""콜라겐""]",1
20240530065127,마이프로틴 쉐이크 요거트 스트로베리,(주)스포츠바이오텍,기타가공품,2025-10-22,protein,24,"[""식물성크림혼합분말"", ""에리스리톨"", ""분리대두단백"", ""유청단백분말"", ""수크랄로스"", ""생선콜라겐"", ""히알루론산혼합제제"", ""비타민미네랄혼합분말"", ""비트레드"", ""정제소금"", ""구연산"", ""효소처리스테비아"", ""기타가공품"", ""향료"", ""과.채가공품"", ""전지분유"", ""곡류가공품"", ""유함유가공품"", ""딸기맛분말"", ""딸기다이스"", ""딸기과즙분말"", ""치커리식이섬유"", ""콜라겐"", ""난소화성말토덱스트린(고시형)""]",1
20240530065125,마이프로틴 쉐이크 코코 초코,(주)스포츠바이오텍,기타가공품,2025-10-21,protein,24,"[""초콜릿"", ""콜라겐"", ""전지분유"", ""혼합제제"", ""구아검"", ""효소처리스테비아"", ""생선콜라겐"", ""향료"", ""식물성크림혼합분말"", ""에리스리톨"", ""코코아분말"", ""분리대두단백"", ""유청단백분말"", ""과자"", ""수크랄로스"", ""비타민미네랄혼합분말"", ""정제소금"", ""히알루론산혼합제제"", ""탈지분유"", ""초콜릿가공품"", ""아몬드분태"", ""난소화성말토덱스트린(고시형)"", ""곡류가공품"", ""치커리식이섬유""]",1
20240530065231,마이프로틴 쉐이크 피치,(주)스포츠바이오텍,기타가공품,2026-05-27,protein,23,"[""비타민미네랄혼합분말"", ""정제소금"", ""비트레드"", ""생선콜라겐"", ""효소처리스테비아"", ""기타가공품"", ""히알루론산혼합제제"", ""수크랄로스"", ""탈지분유"", ""콜라겐"", ""구연산"", ""과자"", ""곡류가공품"", ""유청단백분말"", ""분리대두단백"", ""식물성크림"", ""에리스리톨"", ""난소화성말토덱스트린(고시형)"", ""복숭아맛분말"", ""과.채가공품"", ""유함유가공품"", ""과.채가공품"", ""향료""]",1
20200385376351,말티프로틴다크컴파운드SN,미래식품,준초콜릿,2026-07-10,protein,8,"[""가공유지"", ""D-말티톨"", ""두류가공품"", ""코코아분말"", ""효소처리스테비아"", ""레시틴"", ""혼합제제"", ""향료""]",1
2017033325243,맛있는 산양유 프로틴,(주)프로게이너,기타가공품,2021-03-16,protein,4,"[""산양유분말"", ""코코넛분말"", ""녹차가루"", ""STEVIOSIDE 스테비오사이드""]",1
20060445110750,맛있는 산양유 프로틴 초코맛,콜마비앤에이치(주) 음성공장,기타가공품,2022-06-17,protein,19,"[""분리대두단백"", ""코코아분말"", ""유단백분말"", ""유청단백분말"", ""초코렛향분말"", ""에리스리톨"", ""결정과당"", ""식물성크림"", ""초유분말"", ""이산화규소"", ""유산균혼합분말"", ""구아검"", ""효소처리스테비아"", ""구연산"", ""수크랄로스"", ""과일혼합분말"", ""아미노산혼합분말"", ""아미노산혼합분말"", ""비타민혼합분말""]",1
20060445110748,맛있는 산양유 프로틴 호두아몬드맛,콜마비앤에이치(주) 음성공장,기타가공품,2022-06-07,protein,20,"[""분리대두단백"", ""아몬드분말"", ""유단백분말"", ""유청단백분말"", ""호두향"", ""결정과당"", ""에리스리톨"", ""초유분말"", ""이산화규소"", ""구아검"", ""효소처리스테비아"", ""구연산"", ""호두분말"", ""아몬드향"", ""유산균혼합분말"", ""수크랄로스"", ""과일혼합분말"", ""아미노산혼합분말"", ""아미노산혼합분말"", ""비타민혼합분말""]",1
20130358242340,맛있는 프로틴 다이어트 쉐이크 달콤한 팥,주식회사 이수바이오,체중조절용 조제식품,2020-10-29,protein,29,"[""코코아분말"", ""혼합제제"", ""코코아향분말"", ""정제소금"", ""유산균혼합분말"", ""세븐베리농축분말"", ""닭가슴살분말"", ""산화마그네슘"", ""알로에베라겔동결건조분말"", ""마테추출물분말"", ""가르시니아캄보지아 추출물(고시형)"", ""효소처리스테비아"", ""합성향료"", ""과채가공품"", ""과채가공품"", ""수크랄로스"", ""혼합제제"", ""혼합제제"", ""녹차추출물분말가루"", ""폴리덱스트로스"", ""결정과당"", ""팥가루"", ""식물성크림"", ""프락토올리고당"", ""잔탄검"", ""비타민미네랄혼합분말"", ""덱스트린"", ""과채가공품"", ""분리대두단백""]",1
