product_id,brand,clean_name,flavor,volume,pack_count,price,dup_count,product_line,full_name,maker,mall,category,naver_link,ingredients_json,nutrition_json,source,mfds_matched_name,mfds_report_no,match_score
89130638695,매일,셀렉스 프로틴 음료 락토프리,오리지널,190ml,48,56900,2,셀렉스프로틴음료락토프리,"셀렉스 프로틴 음료 락토프리 오리지널, 190ml, 48개",매일유업,셀렉스 직영스토어,단백질보충제 > 단백질음료,https://smartstore.naver.com/main/products/11586128289,"[""정제소금"", ""향료"", ""향료"", ""정제수"", ""원액두유"", ""분리유단백"", ""덱스트린"", ""분리대두단백"", ""채종유(유채유 또는 카놀라유)"", ""변성전분"", ""구연산칼륨"", ""탄산칼슘"", ""L-로이신"", ""타우린"", ""곡류가공품"", ""식품첨가물혼합제제"", ""향료"", ""향료"", ""향료"", ""소르비탄지방산에스테르"", ""호두페이스트"", ""산화아연"", ""땅콩페이스트"", ""인산철"", ""수크랄로스"", ""향료제제""]",,naver_shop,셀렉스 프로틴 음료 락토프리,19810227007476,1.0
42283774413,매일,셀렉스 프로틴,오리지널,190ml,48,49590,4,셀렉스프로틴,셀렉스 프로틴 오리지널  190ml  48개,매일유업,쿠팡,단백질보충제 > 단백질음료,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=9334640009&ctag=9334640009&lptag=I19725068001&itemId=19725068001&vendorItemId=86829124338&spec=10305197,"[""분리유단백"", ""채종유(유채유 또는 카놀라유)"", ""소르비탄지방산에스테르"", ""탈지분유"", ""변성전분"", ""구연산칼륨"", ""분리대두단백"", ""L-로이신"", ""덱스트린"", ""백설탕"", ""땅콩페이스트"", ""호두페이스트"", ""곡류가공품"", ""식염"", ""탄산칼슘"", ""인산철"", ""산화아연"", ""혼합제제"", ""향료"", ""향료"", ""향료"", ""향료"", ""향료"", ""정제수""]",,naver_shop,셀렉스 프로틴 음료,20000441043240,0.781
53510799131,얼티브,얼티브 프로틴 햇반,,250ml,18,10800,1,얼티브프로틴햇반,"얼티브 프로틴 햇반 쌀밥맛 , 250ml, 18개",,네이버,단백질보충제 > 단백질음료,https://search.shopping.naver.com/catalog/53510799131,"[""향료"", ""향료"", ""수크랄로스"", ""아세설팜칼륨"", ""분말베이스"", ""분말베이스"", ""혼합제제"", ""미강유(현미유)"", ""기타가공품"", ""L-아르지닌"", ""탄산수소나트륨"", ""탄산칼슘"", ""기타가공품"", ""정제수"", ""향료"", ""정제소금""]",,naver_shop,얼티브 프로틴 밤맛,20010515081554,0.65
85739938498,마이밀,마이밀 뉴프로틴 로우슈거,바나나,190ml,60,64900,1,마이밀뉴프로틴로우슈거,"마이밀 뉴프로틴 로우슈거 바나나 단백질음료 190ml, 60개",,대상웰라이프 본사쇼핑몰,단백질보충제 > 단백질음료,https://smartstore.naver.com/main/products/8195438175,"[""정제수"", ""치커리식이섬유"", ""분리대두단백"", ""농축유단백"", ""카제인칼슘"", ""백설탕"", ""덱스트린"", ""전지분유"", ""옥수수기름(옥배유)"", ""알룰로오스"", ""구연산칼륨"", ""바나나농축액"", ""향료"", ""비타민혼합제제"", ""탄산칼슘"", ""결정셀룰로스"", ""염화칼륨"", ""염화마그네슘"", ""탄산수소나트륨"", ""정제소금"", ""향료"", ""산화아연"", ""비타민E"", ""혼합제제"", ""카라기난"", ""카라기난혼합제제"", ""수크랄로스"", ""비타민D3혼합제제"", ""비타민B2""]",,naver_shop,마이밀 뉴프로틴 로우슈거 바나나,2021045702816,0.828
53509488936,닥터유,서울에프엔비 닥터유 프로 단백질 드링크,딸기,250ml,24,42300,1,서울에프엔비닥터유프로단백질드링크,"서울에프엔비 닥터유 프로 단백질 드링크 딸기 , 250ml, 24개",서울에프엔비,네이버,단백질보충제 > 단백질음료,https://search.shopping.naver.com/catalog/53509488936,"[""기타가공품"", ""분리대두단백분말"", ""에리스리톨"", ""전지분유"", ""탈지분유분말"", ""분리유단백분말"", ""분리유단백분말"", ""유크림"", ""원유"", ""딸기과즙"", ""향료제제"", ""분리유단백분말"", ""정제수"", ""향료"", ""자당지방산에스테르"", ""L-카르니틴"", ""효소처리스테비아"", ""수크랄로스"", ""기타가공품"", ""젤란검"", ""토마토색소"", ""카복시메틸셀룰로스나트륨"", ""아세설팜칼륨"", ""정제소금"", ""탄산수소나트륨"", ""향료""]",,naver_shop,닥터유 프로 단백질 드링크 딸기,20200401439241,0.707
59687458683,빙그레,더단백 프로틴 드링크 민트초코,,250ml,18,26060,1,더단백프로틴드링크민트초코,"더단백 프로틴 드링크 민트초코, 250ml, 18개",,네이버,단백질보충제 > 단백질음료,https://search.shopping.naver.com/catalog/59687458683,,,naver_shop,,,0.052
90576337481,연세우유,연세유업 세브란스 A2프로틴,초콜릿,190ml,16,16900,1,연세유업세브란스a2프로틴,"연세유업 세브란스 A2프로틴 음료 초콜릿, 190ml, 16개",연세유업,연세유업 직영스토어,단백질보충제 > 단백질음료,https://smartstore.naver.com/main/products/13031826390,,,naver_shop,,,0.25
53509044730,빙그레,더단백 프로틴 드링크,바나나,250ml,18,26290,1,더단백프로틴드링크,"더단백 프로틴 드링크 바나나, 250ml, 18개",,네이버,단백질보충제 > 단백질음료,https://search.shopping.naver.com/catalog/53509044730,,,naver_shop,,,0.0
83959159719,일동후디스,하이뮨 프로틴 밸런스 음료 저당,,190ml,64,72000,2,하이뮨프로틴밸런스음료저당,"하이뮨 프로틴 밸런스 음료 저당, 190ml, 64개",일동후디스,일동후디스,단백질보충제 > 단백질음료,https://smartstore.naver.com/main/products/6414659386,"[""기타가공품"", ""산양유분말"", ""산양유분말"", ""농축유단백"", ""설탕"", ""유청단백분말"", ""분리대두단백분말"", ""유청단백분말"", ""정제소금"", ""밀크향분말"", ""밀크향분말"", ""바닐라향"", ""바닐라향"", ""수산화마그네슘"", ""제삼인산칼슘"", ""프락토올리고당"", ""비오틴"", ""비타민D3혼합제제"", ""비타민B6염산염"", ""판토텐산칼슘(고시형)"", ""효모식품"", ""산화아연(고시형)"", ""분리유단백"", ""나한과추출물분말"", ""콜라겐분말""]",,naver_shop,하이뮨 프로틴 밸런스 P,20080380239221,0.67
56370592965,얼티브,얼티브 비건프로틴,바나나,250ml,18,11900,1,얼티브비건프로틴,"얼티브 비건프로틴 바나나맛, 250ml, 18개",,네이버,단백질보충제 > 단백질음료,https://search.shopping.naver.com/catalog/56370592965,"[""향료"", ""향료"", ""혼합제제"", ""수크랄로스"", ""정제소금"", ""아세설팜칼륨"", ""미강유(현미유)"", ""기타가공품"", ""L-아르지닌"", ""탄산수소나트륨"", ""혼합제제"", ""분말베이스"", ""분말베이스"", ""분말베이스"", ""분말베이스"", ""코코아분말"", ""정제수""]",,naver_shop,얼티브 비건프로틴 초코,20010515081570,0.8
