report_no,name,maker,prdlst_type,report_date,chng_dt,category,ingredient_count,ingredients_json
1993049301790,제로크리머M,(주)삼익유가공,식물성크림,2022-12-27,2026-07-25,zero,13,"[""정제수"", ""폴리글리시톨액"", ""가공유지"", ""덱스트린"", ""우유"", ""유함유가공품"", ""제이인산칼륨"", ""제삼인산칼슘"", ""글리세린지방산에스테르"", ""폴리인산칼륨"", ""스테아릴젖산나트륨"", ""정제소금"", ""수크랄로스""]"
200203045896,제로크린,선진바이오(주),산화칼슘,2017-08-29,2017-09-16,zero,1,"[""산화칼슘""]"
20060042813571,제로타임,플러스라이프,기타가공품,2020-08-24,2020-08-26,zero,13,"[""건조치커리"", ""생선콜라겐"", ""녹차나무잎추출물분말"", ""우엉"", ""석류농축분말"", ""마"", ""드럼스틱 씨앗"", ""블랙체리"", ""바질씨앗"", ""갈매보리수나무열매추출분말"", ""볶은카카오"", ""그린커피빈추출물(기능성원료인정제2014-31호)"", ""마테""]"
19930242053232,제로탄산드링크(수출용),롯데칠성음료(주),탄산음료,2010-01-13,2018-03-22,zero,7,"[""정제수"", ""액체탄산가스"", ""레몬향"", ""구연산삼나트륨"", ""구연산(함수)"", ""아세설팜칼륨"", ""수크랄로스""]"
20090440068516,제로톡젤리딸기맛,(주)건영제과,캔디류,2024-08-24,2024-08-28,zero,14,"[""로커스트콩검"", ""카라기난혼합제제"", ""글루코만난"", ""효소처리스테비아"", ""딸기농축액"", ""구연산삼나트륨"", ""구연산"", ""DL-사과산"", ""에리스리톨"", ""아세설팜칼륨"", ""수크랄로스"", ""정제수"", ""식용색소적색제40호"", ""딸기향""]"
20090440068504,제로톡젤리믹스,(주)건영제과,캔디류,2024-08-24,2024-08-28,zero,4,"[""캔디류"", ""캔디류"", ""캔디류"", ""캔디류""]"
20090440068502,제로톡젤리복숭아맛,(주)건영제과,캔디류,2024-07-17,2024-07-18,zero,14,"[""DL-사과산"", ""로커스트콩검"", ""과.채가공품"", ""효소처리스테비아"", ""글루코만난"", ""카라기난혼합제제"", ""구연산"", ""구연산삼나트륨"", ""복숭아향"", ""식용색소적색제40호"", ""정제수"", ""수크랄로스"", ""아세설팜칼륨"", ""에리스리톨""]"
20090440068517,제로톡젤리샤인머스켓맛,(주)건영제과,캔디류,2024-08-24,2024-08-28,zero,15,"[""혼합제제"", ""에리스리톨"", ""수크랄로스"", ""정제수"", ""식용색소황색제4호"", ""합성향료"", ""구연산삼나트륨"", ""구연산"", ""DL-사과산"", ""로커스트콩검"", ""카라기난혼합제제"", ""글루코만난"", ""효소처리스테비아"", ""과.채가공품"", ""아세설팜칼륨""]"
20090440068503,제로톡젤리애플망고맛,(주)건영제과,캔디류,2024-07-17,2024-07-18,zero,15,"[""과.채가공품"", ""효소처리스테비아"", ""글루코만난"", ""카라기난혼합제제"", ""로커스트콩검"", ""DL-사과산"", ""구연산"", ""구연산삼나트륨"", ""애플망고향"", ""식용색소황색제4호"", ""정제수"", ""수크랄로스"", ""아세설팜칼륨"", ""에리스리톨"", ""식용색소적색제40호""]"
20190442149360,제로톡톡(청포도),(주)동원홈푸드,음료베이스,2020-03-16,2020-06-20,zero,6,"[""구연산"", ""기타가공품"", ""혼합제제"", ""효소처리스테비아"", ""천연향료"", ""정제수""]"
